126;(%STANDARD%: Award 486 BIOS);Type 45 (v3.05);62;820,00;6,00;26,00;-1,00;819,00;RLL;820,00;6,00;26,00
127;(%STANDARD%: Award 486 BIOS);Type 46 (v3.05);100;776,00;8,00;33,00;-1,00;775,00;RLL;776,00;8,00;33,00
128;(%STANDARD%: Olivetti 386SX16);Type 1;10;306,00;4,00;17,00;128,00;305,00;MFM;306,00;4,00;17,00
129;(%STANDARD%: Olivetti 386SX16);Type 2;20;615,00;4,00;17,00;256,00;700,00;MFM;615,00;4,00;17,00
130;(%STANDARD%: Olivetti 386SX16);Type 3;38;925,00;5,00;17,00;128,00;924,00;MFM;925,00;5,00;17,00
131;(%STANDARD%: Olivetti 386SX16);Type 4;29;697,00;5,00;17,00;128,00;696,00;MFM;697,00;5,00;17,00
132;(%STANDARD%: Olivetti 386SX16);Type 5;76;1024,00;9,00;17,00;-1,00;1023,00;MFM;1024,00;9,00;17,00
133;(%STANDARD%: Olivetti 386SX16);Type 6;41;820,00;6,00;17,00;256,00;819,00;MFM;820,00;6,00;17,00
134;(%STANDARD%: Olivetti 386SX16);Type 7;41;615,00;8,00;17,00;128,00;664,00;MFM;615,00;8,00;17,00
135;(%STANDARD%: Olivetti 386SX16);Type 8;41;981,00;5,00;17,00;-1,00;980,00;MFM;981,00;5,00;17,00
136;(%STANDARD%: Olivetti 386SX16);Type 9;41;981,00;5,00;17,00;128,00;980,00;MFM;981,00;5,00;17,00
137;(%STANDARD%: Olivetti 386SX16);Type 10;51;1024,00;6,00;17,00;-1,00;1023,00;MFM;1024,00;6,00;17,00
138;(%STANDARD%: Olivetti 386SX16);Type 11;54;925,00;7,00;17,00;128,00;924,00;MFM;925,00;7,00;17,00
139;(%STANDARD%: Olivetti 386SX16);Type 12;68;1024,00;8,00;17,00;-1,00;1023,00;MFM;1024,00;8,00;17,00
140;(%STANDARD%: Olivetti 386SX16);Type 13;69;925,00;9,00;17,00;128,00;924,00;MFM;925,00;9,00;17,00
141;(%STANDARD%: Olivetti 386SX16);Type 14;42;1024,00;5,00;17,00;-1,00;1023,00;MFM;1024,00;5,00;17,00
142;(%STANDARD%: Olivetti 386SX16);Type 16;20;612,00;4,00;17,00;128,00;656,00;MFM;612,00;4,00;17,00
143;(%STANDARD%: Olivetti 386SX16);Type 17;20;612,00;4,00;17,00;-1,00;663,00;MFM;612,00;4,00;17,00
144;(%STANDARD%: Olivetti 386SX16);Type 18;41;820,00;6,00;17,00;-1,00;819,00;MFM;820,00;6,00;17,00
145;(%STANDARD%: Olivetti 386SX16);Type 19;43;872,00;6,00;17,00;0,00;871,00;MFM;872,00;6,00;17,00
146;(%STANDARD%: Olivetti 386SX16);Type 20;20;612,00;4,00;17,00;0,00;663,00;MFM;612,00;4,00;17,00
147;(%STANDARD%: Olivetti 386SX16);Type 21;62;820,00;6,00;26,00;-1,00;819,00;RLL;820,00;6,00;26,00
148;(%STANDARD%: Olivetti 386SX16);Type 22;62;820,00;6,00;26,00;128,00;819,00;RLL;820,00;6,00;26,00
149;(%STANDARD%: Olivetti 386SX16);Type 23;62;615,00;8,00;26,00;384,00;664,00;RLL;615,00;8,00;26,00
150;(%STANDARD%: Olivetti 386SX16);Type 24;136;820,00;10,00;34,00;-1,00;822,00;RLL;820,00;10,00;34,00
151;(%STANDARD%: Olivetti 386SX16);Type 25;136;1021,00;8,00;34,00;-1,00;1023,00;RLL;1021,00;8,00;34,00
152;(%STANDARD%: Olivetti 386SX16);Type 26;68;1021,00;4,00;34,00;-1,00;1023,00;RLL;1021,00;4,00;34,00
153;(%STANDARD%: Olivetti 386SX16);Type 27;68;823,00;10,00;17,00;512,00;822,00;MFM;823,00;10,00;17,00
154;(%STANDARD%: Olivetti 386SX16);Type 28;41;615,00;8,00;17,00;512,00;614,00;MFM;615,00;8,00;17,00
155;(%STANDARD%: Olivetti 386SX16);Type 29;62;615,00;8,00;26,00;512,00;614,00;RLL;615,00;8,00;26,00
156;(%STANDARD%: Olivetti 386SX16);Type 30;62;981,00;5,00;26,00;-1,00;980,00;RLL;981,00;5,00;26,00
157;(%STANDARD%: Olivetti 386SX16);Type 31;41;635,00;4,00;33,00;-1,00;639,00;RLL;635,00;4,00;33,00
158;(%STANDARD%: Olivetti 386SX16);Type 32;20;615,00;4,00;17,00;-1,00;614,00;MFM;615,00;4,00;17,00
